,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_pruned,user_attrs_training_time,state
55,55,0.25316383163174544,2025-01-29 04:51:21.028044,2025-01-29 04:56:47.748341,0 days 00:05:26.720297,0.536387119887115,0.0011046996216723228,0.013123074917623923,6,0.0024917614241352147,1.5313109728905753e-08,0.5661525597604625,0.5714270894479991,,326.038400888443,COMPLETE
56,56,0.24889064549159354,2025-01-29 04:56:47.749132,2025-01-29 05:03:34.744714,0 days 00:06:46.995582,0.9556804186437236,2.587733941208142e-07,0.020804783179906965,7,6.893828766664117,1.0286585048642576e-07,0.5036500584332556,0.9139662862769421,,406.1752634048462,COMPLETE
57,57,0.25129169700245474,2025-01-29 05:03:34.745338,2025-01-29 05:08:08.831552,0 days 00:04:34.086214,0.832337389390192,2.7284571382746376e-05,0.09049442135597852,9,0.3471171226670032,1.6373027958168672e-08,0.18777394589204605,0.6935854488451249,,273.67917227745056,COMPLETE
58,58,0.25085344863851994,2025-01-29 05:08:08.832148,2025-01-29 05:13:48.279220,0 days 00:05:39.447072,0.845278949716503,1.696198089001075e-06,0.08769387606943556,10,0.7410273123460289,1.6194531205400537e-06,0.0021407662141623225,0.9912264197137408,,339.0336673259735,COMPLETE
59,59,0.24598202115553539,2025-01-29 05:13:48.279907,2025-01-29 05:25:06.625731,0 days 00:11:18.345824,0.6738534030835387,1.3375615130867785e-07,0.027264419796153554,9,2.9568258851506717,8.830402307957193e-06,3.857093465242478e-07,0.826545158153407,,677.0318937301636,COMPLETE
60,60,0.3098298937618429,2025-01-29 05:25:06.626219,2025-01-29 05:30:28.646239,0 days 00:05:22.020020,0.7760017614815382,1.6824323973143526e-08,0.0019734078744983673,5,0.12839407356539262,0.5335927103502013,0.017366497712822487,0.5545385284474805,,321.44148421287537,COMPLETE
61,61,0.24772073317614318,2025-01-29 05:30:28.646885,2025-01-29 05:36:25.659591,0 days 00:05:57.012706,0.6223679591691776,4.062336706622082e-07,0.03359132778684396,7,4.607694134861072,0.011005288242743983,1.144822953678595e-07,0.8037940153437456,,356.1843202114105,COMPLETE
62,62,0.24692732559522143,2025-01-29 05:36:25.660172,2025-01-29 05:49:10.792028,0 days 00:12:45.131856,0.5818513625233707,6.317960215017761e-06,0.011344279122580934,9,3.546587922818128,2.7024993990273194e-06,2.696800666065952e-07,0.8355818114681369,,763.8121953010559,COMPLETE
63,63,0.24948700232861132,2025-01-29 05:49:10.792493,2025-01-29 05:56:20.706250,0 days 00:07:09.913757,0.8828164432222995,0.00027018420545159343,0.07572217576267291,10,4.327661847894961,4.754799550140987e-07,9.195170303396624e-05,0.8695977235228207,,429.3747842311859,COMPLETE
64,64,0.24632056894495036,2025-01-29 05:56:20.706985,2025-01-29 06:10:09.605788,0 days 00:13:48.898803,0.7210248920596881,8.283977032278295e-08,0.04167368291544464,10,8.449869919849085,0.00016986352631888412,2.0981049370117063e-06,0.8071562289858655,,827.459151506424,COMPLETE
65,65,0.24708279719524437,2025-01-29 06:10:09.606295,2025-01-29 06:24:03.577650,0 days 00:13:53.971355,0.9620206023593532,6.696010910519219e-05,0.010508522092239379,9,7.90590539649114,4.1358929402494844e-08,2.6017123874689523e-06,0.8400938917134573,,832.677125453949,COMPLETE
66,66,0.24930086115140349,2025-01-29 06:24:03.578134,2025-01-29 06:29:35.189771,0 days 00:05:31.611637,0.6041989545982727,8.58494127115662e-07,0.0704547252650871,8,0.0717017236292947,4.360358632483097e-06,2.8099451847654405e-08,0.7121250772162707,,330.9731185436249,COMPLETE
67,67,0.2543957392073512,2025-01-29 06:29:35.190421,2025-01-29 06:37:39.762282,0 days 00:08:04.571861,0.786153877505741,7.240513517939168e-08,0.00670897106112483,7,0.3650590955171952,2.9902978459474416e-05,4.5213308948987545e-08,0.8202038913827856,,483.73542976379395,COMPLETE
68,68,0.24762759236259768,2025-01-29 06:37:39.762976,2025-01-29 06:58:55.764093,0 days 00:21:16.001117,0.7310282080433598,3.293791695037911e-07,0.007832915675180598,10,0.7992004933757956,0.00023599770831211916,4.250397826619077e-08,0.9280814668124548,,1273.9656174182892,COMPLETE
69,69,0.2703384231435015,2025-01-29 06:58:55.764524,2025-01-29 07:11:08.213684,0 days 00:12:12.449160,0.9941351510818929,0.00015846720239838275,0.002950659501963593,8,0.3218028225435114,6.465171224954188e-08,0.3534473229371607,0.9766602943767491,,731.5047962665558,COMPLETE
70,70,0.24629651531506166,2025-01-29 07:11:08.214421,2025-01-29 07:22:02.187055,0 days 00:10:53.972634,0.9300006220636177,9.921607064420065e-07,0.04818377650012362,9,9.078695990587807,4.568824003181252e-05,0.21378539102628563,0.9530479583205228,,652.9166479110718,COMPLETE
71,71,0.3363981789939547,2025-01-29 07:22:02.187579,2025-01-29 07:27:26.559528,0 days 00:05:24.371949,0.8355572150775498,4.929506123933848e-06,0.001507175918130798,5,0.0011717432033894483,0.0006985522799532081,7.238687971523721e-07,0.535410593773554,,323.78605103492737,COMPLETE
72,72,0.24629867290539398,2025-01-29 07:27:26.560191,2025-01-29 07:35:15.499585,0 days 00:07:48.939394,0.6590364114253526,1.0007976158727228e-06,0.04342286623986417,8,3.2725857197284753,1.7518609903091635e-06,3.991996861741006e-05,0.9075839511157439,,468.01564478874207,COMPLETE
73,73,0.2470211571850203,2025-01-29 07:35:15.500328,2025-01-29 07:47:42.215963,0 days 00:12:26.715635,0.6581856767220788,1.6499178432589158e-08,0.011377112115593647,9,4.4819878016886046,5.669829587818695e-06,6.748684509918036e-07,0.7443937377861825,,745.6069803237915,COMPLETE
74,74,0.2505591283824962,2025-01-29 07:47:42.216445,2025-01-29 07:52:50.520506,0 days 00:05:08.304061,0.9416407978135592,3.15000032181853e-06,0.026640883492418926,6,0.07646198498588212,8.116518729776068e-07,0.3431623081307788,0.7721088283210368,,307.5815553665161,COMPLETE
75,75,0.24583416412147965,2025-01-29 07:52:50.521374,2025-01-29 08:03:57.492638,0 days 00:11:06.971264,0.7520578073329012,4.7258753464160154e-07,0.0375697450494245,9,3.292409061961424,2.8950452629537844e-07,1.879555126454736e-08,0.8856424649265785,,665.8660564422607,COMPLETE
76,76,0.24652044269039616,2025-01-29 08:03:57.493149,2025-01-29 08:11:54.453999,0 days 00:07:56.960850,0.8625256355482487,6.51560445362144e-08,0.05401642655543536,8,4.5363007088168565,1.2784268389301746e-05,6.20754423429297e-07,0.9789992449924539,,476.0387554168701,COMPLETE
77,77,0.24596784976866518,2025-01-29 08:11:54.454722,2025-01-29 08:31:05.745261,0 days 00:19:11.290539,0.9751916143043113,1.187515592793561e-05,0.013503593857801949,10,4.370511063515401,2.5057619315245595e-08,0.20789517016749784,0.9466588001843278,,1149.5889229774475,COMPLETE
78,78,0.2464395682429644,2025-01-29 08:31:05.745760,2025-01-29 08:43:14.717799,0 days 00:12:08.972039,0.9826371934240471,2.3956360700535746e-06,0.04136698390999688,9,1.8956407776331634,2.2771047334796067e-08,0.07748361908379348,0.9830618505081155,,727.8707056045532,COMPLETE
79,79,0.2480941615397471,2025-01-29 08:43:14.718277,2025-01-29 08:49:21.731616,0 days 00:06:07.013339,0.8499774901197378,3.7872874992441304e-06,0.04268782184335471,7,0.9968813982482908,3.576280905075876e-07,2.739785083580741e-08,0.7717821649541774,,366.190646648407,COMPLETE
80,80,0.2506494830207848,2025-01-29 08:49:21.732380,2025-01-29 08:57:06.824852,0 days 00:07:45.092472,0.8334325986862695,3.842695498895363e-07,0.010322497477216343,7,7.176140593363058,3.214353851111232e-08,5.142135055942704e-08,0.9813670828174563,,464.296098947525,COMPLETE
