,number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,params_num_layers,params_rnn_type,params_units,user_attrs_pruned,user_attrs_training_time,state
73,73,0.4063673179015746,2025-02-03 21:56:13.386531,2025-02-03 22:06:04.671122,0 days 00:09:51.284591,0.1,0.00021499621224514666,2,GRU,128,,589.8044319152832,COMPLETE
74,74,1.1016524043214173,2025-02-03 22:06:04.671386,2025-02-03 22:18:55.780658,0 days 00:12:51.109272,0.1,0.004946592435163171,3,LSTM,96,,769.3464732170105,COMPLETE
75,75,0.3440693904779784,2025-02-03 22:18:55.780926,2025-02-03 22:36:41.768590,0 days 00:17:45.987664,0.4,0.00010399574877364778,1,GRU,32,,1064.9024631977081,COMPLETE
76,76,0.3299002366942514,2025-02-03 22:36:41.768854,2025-02-03 22:47:01.080861,0 days 00:10:19.312007,0.2,0.00024248836586518904,1,GRU,32,,618.2263324260712,COMPLETE
77,77,0.5485760052505589,2025-02-03 22:47:01.081131,2025-02-03 22:57:57.986648,0 days 00:10:56.905517,0.5,0.004746506826565211,2,GRU,128,,655.4182622432709,COMPLETE
78,78,0.35704061650937957,2025-02-03 22:57:57.986915,2025-02-03 23:12:04.439383,0 days 00:14:06.452468,0.2,0.00016730992699888567,1,GRU,32,,845.3670990467072,COMPLETE
79,79,0.34545786565156883,2025-02-03 23:12:04.439647,2025-02-03 23:31:41.814289,0 days 00:19:37.374642,0.1,0.00012194439752890732,1,LSTM,32,,1176.2522950172424,COMPLETE
80,80,0.3874377446042801,2025-02-03 23:31:41.814559,2025-02-03 23:42:44.494358,0 days 00:11:02.679799,0.2,0.00030154303425346653,2,GRU,32,,661.5278906822205,COMPLETE
81,81,0.32984325774672835,2025-02-03 23:42:44.494622,2025-02-03 23:53:49.557476,0 days 00:11:05.062854,0.2,0.0003653991282461996,1,GRU,32,,663.9801716804504,COMPLETE
82,82,0.36848927416634836,2025-02-03 23:53:49.557738,2025-02-04 00:03:24.668420,0 days 00:09:35.110682,0.2,0.0003857444515038385,1,GRU,64,,574.0258233547211,COMPLETE
83,83,1.0814778741441136,2025-02-04 00:03:24.668691,2025-02-04 00:13:00.951529,0 days 00:09:36.282838,0.0,0.007376646959902541,2,LSTM,32,,575.1000826358795,COMPLETE
84,84,0.3340466651152945,2025-02-04 00:13:00.951793,2025-02-04 00:26:16.540994,0 days 00:13:15.589201,0.2,0.00019308938542620242,1,GRU,32,,794.5075469017029,COMPLETE
85,85,0.35872161542801023,2025-02-04 00:26:16.541270,2025-02-04 00:35:31.614037,0 days 00:09:15.072767,0.0,0.002400523604951823,1,LSTM,96,,553.92511677742,COMPLETE
86,86,0.3577294426719057,2025-02-04 00:35:31.614307,2025-02-04 00:46:31.500049,0 days 00:10:59.885742,0.30000000000000004,0.00011323707088409064,1,GRU,64,,658.7978315353394,COMPLETE
87,87,0.34753990695160675,2025-02-04 00:46:31.500318,2025-02-04 00:55:38.717573,0 days 00:09:07.217255,0.2,0.00035998481264106576,1,GRU,32,,546.1317505836487,COMPLETE
88,88,0.33559531095497014,2025-02-04 00:55:38.717844,2025-02-04 01:10:47.874983,0 days 00:15:09.157139,0.2,0.0001196493466226722,2,GRU,32,,908.0070734024048,COMPLETE
89,89,0.3436942225024075,2025-02-04 01:10:47.875257,2025-02-04 01:20:22.973907,0 days 00:09:35.098650,0.4,0.0002678631962910416,1,GRU,32,,574.013688325882,COMPLETE
90,90,0.32995964305607056,2025-02-04 01:20:22.974178,2025-02-04 01:36:48.130377,0 days 00:16:25.156199,0.4,0.00011597118026397411,1,GRU,32,,984.0521245002747,COMPLETE
91,91,0.42744216059497936,2025-02-04 01:36:48.130639,2025-02-04 01:49:17.936573,0 days 00:12:29.805934,0.2,0.0001430626260932876,3,LSTM,128,,746.7102642059326,COMPLETE
92,92,0.3415875209216051,2025-02-04 01:49:17.936846,2025-02-04 02:10:05.222468,0 days 00:20:47.285622,0.4,0.0001358857500868688,1,GRU,32,,1246.2042393684387,COMPLETE
93,93,0.33807024925656703,2025-02-04 02:10:05.222738,2025-02-04 02:25:54.783329,0 days 00:15:49.560591,0.4,0.0001063231556878056,1,GRU,32,,948.473703622818,COMPLETE
94,94,0.3273176468251341,2025-02-04 02:25:54.783600,2025-02-04 02:46:05.768828,0 days 00:20:10.985228,0.5,0.00011405106093867833,1,GRU,32,,1209.9026367664337,COMPLETE
95,95,0.3364445226688371,2025-02-04 02:46:05.769099,2025-02-04 03:01:04.149316,0 days 00:14:58.380217,0.5,0.00011441748358330965,1,GRU,32,,897.2938401699066,COMPLETE
96,96,0.3368241181974712,2025-02-04 03:01:04.149584,2025-02-04 03:13:16.918087,0 days 00:12:12.768503,0.5,0.00025319404696578054,1,GRU,32,,731.683562040329,COMPLETE
97,97,0.44225130825093917,2025-02-04 03:13:16.918361,2025-02-04 03:27:24.485137,0 days 00:14:07.566776,0.4,0.0014053041231721077,3,GRU,128,,845.736855506897,COMPLETE
98,98,0.36295391017279804,2025-02-04 03:27:24.485405,2025-02-04 03:38:30.597192,0 days 00:11:06.111787,0.1,0.0012025052662336215,3,GRU,96,,664.5750579833984,COMPLETE
99,99,0.32329817633078833,2025-02-04 03:38:30.597458,2025-02-04 03:55:18.387226,0 days 00:16:47.789768,0.5,0.00010535622388509113,1,GRU,32,,1006.7051119804382,COMPLETE
100,100,0.4210194509634893,2025-02-04 03:55:18.387495,2025-02-04 04:08:04.168617,0 days 00:12:45.781122,0.0,0.0009126076583614779,3,LSTM,128,,762.7233076095581,COMPLETE
101,101,0.36544228961474085,2025-02-04 04:08:04.168892,2025-02-04 04:19:32.398971,0 days 00:11:28.230079,0.5,0.00010895216270799779,2,GRU,64,,687.0694649219513,COMPLETE
102,102,0.3497263170957586,2025-02-04 04:19:32.399250,2025-02-04 04:30:50.804162,0 days 00:11:18.404912,0.5,0.00016743233424192468,1,GRU,64,,677.3524491786957,COMPLETE
103,103,0.33808710175605966,2025-02-04 04:30:50.804424,2025-02-04 04:44:34.357660,0 days 00:13:43.553236,0.5,0.00011699000730207372,1,GRU,32,,822.5022714138031,COMPLETE
104,104,0.33612444574954053,2025-02-04 04:44:34.357932,2025-02-04 04:59:35.342864,0 days 00:15:00.984932,0.1,0.00011381587901459121,1,GRU,32,,899.9020071029663,COMPLETE
105,105,0.3431976835658371,2025-02-04 04:59:35.343142,2025-02-04 05:10:27.014495,0 days 00:10:51.671353,0.5,0.00010930521507907074,1,LSTM,64,,650.5526940822601,COMPLETE
106,106,0.3952414220017833,2025-02-04 05:10:27.014768,2025-02-04 05:18:55.044483,0 days 00:08:28.029715,0.30000000000000004,0.0002986325676724329,1,GRU,128,,506.88986802101135,COMPLETE
107,107,0.3485954199293773,2025-02-04 05:18:55.044748,2025-02-04 05:31:23.951155,0 days 00:12:28.906407,0.5,0.00011268940025280993,1,GRU,32,,747.821781873703,COMPLETE
108,108,0.9840697533512532,2025-02-04 05:31:23.951427,2025-02-04 05:40:39.548419,0 days 00:09:15.596992,0.5,0.006586252052190509,2,LSTM,64,,554.3244688510895,COMPLETE
109,109,0.39523332730831023,2025-02-04 05:40:39.548690,2025-02-04 05:51:55.627051,0 days 00:11:16.078361,0.2,0.0005558653624499458,1,LSTM,64,,674.9629621505737,COMPLETE
110,110,0.3340542679854972,2025-02-04 05:51:55.627329,2025-02-04 06:09:24.170628,0 days 00:17:28.543299,0.5,0.00010723145263906676,1,GRU,32,,1047.459376335144,COMPLETE
111,111,0.33422157182410167,2025-02-04 06:09:24.170901,2025-02-04 06:23:29.051643,0 days 00:14:04.880742,0.4,0.00010286741441011129,1,GRU,32,,843.7990598678589,COMPLETE
112,112,0.34460100228710006,2025-02-04 06:23:29.051916,2025-02-04 06:39:11.149552,0 days 00:15:42.097636,0.4,0.0001049119018309454,2,GRU,32,,940.9420557022095,COMPLETE
113,113,0.3372688981363378,2025-02-04 06:39:11.149823,2025-02-04 06:54:09.458820,0 days 00:14:58.308997,0.4,0.0002667734399645455,1,GRU,32,,897.2260131835938,COMPLETE
114,114,0.5163522941511746,2025-02-04 06:54:09.459105,2025-02-04 07:03:15.672164,0 days 00:09:06.213059,0.1,0.00040006132393183145,1,LSTM,128,,544.6461308002472,COMPLETE
115,115,0.33140484166790357,2025-02-04 07:03:15.672428,2025-02-04 07:16:37.248053,0 days 00:13:21.575625,0.30000000000000004,0.00012203052987041973,1,GRU,32,,800.5215165615082,COMPLETE
116,116,0.3327847243081818,2025-02-04 07:16:37.248334,2025-02-04 07:31:35.515375,0 days 00:14:58.267041,0.5,0.00010733408973374928,1,GRU,32,,897.1805574893951,COMPLETE
117,117,0.3261850869276825,2025-02-04 07:31:35.515643,2025-02-04 07:56:02.790237,0 days 00:24:27.274594,0.30000000000000004,0.00010494564417364423,1,GRU,32,,1466.1934518814087,COMPLETE
118,118,0.7034128519211699,2025-02-04 07:56:02.790510,2025-02-04 08:05:22.616315,0 days 00:09:19.825805,0.1,0.00655182990782403,1,GRU,96,,558.747588634491,COMPLETE
119,119,0.3504112649044444,2025-02-04 08:05:22.616583,2025-02-04 08:21:54.706922,0 days 00:16:32.090339,0.5,0.00013909043218896205,1,LSTM,32,,990.9683473110199,COMPLETE
120,120,0.3841648916515066,2025-02-04 08:21:54.707203,2025-02-04 08:31:10.944449,0 days 00:09:16.237246,0.30000000000000004,0.0019835781551368835,2,GRU,64,,555.0372533798218,COMPLETE
121,121,0.3350660523386851,2025-02-04 08:31:10.944728,2025-02-04 08:41:28.278567,0 days 00:10:17.333839,0.2,0.00024752884555099137,1,GRU,32,,616.2523787021637,COMPLETE
122,122,0.3262585751687182,2025-02-04 08:41:28.278834,2025-02-04 08:57:14.020687,0 days 00:15:45.741853,0.30000000000000004,0.00010581385090678272,1,GRU,32,,944.6887288093567,COMPLETE
123,123,0.337024818937495,2025-02-04 08:57:14.020955,2025-02-04 09:09:09.035925,0 days 00:11:55.014970,0.30000000000000004,0.0002143495174970036,1,GRU,32,,713.9590663909912,COMPLETE
124,124,0.34420837921573394,2025-02-04 09:09:09.036206,2025-02-04 09:27:05.936590,0 days 00:17:56.900384,0.0,0.00010942490079652437,1,GRU,32,,1075.8143742084503,COMPLETE
125,125,0.3315619084355734,2025-02-04 09:27:05.936865,2025-02-04 09:45:58.584802,0 days 00:18:52.647937,0.30000000000000004,0.00012401536154952737,1,GRU,32,,1131.561259508133,COMPLETE
126,126,0.8311917173192699,2025-02-04 09:45:58.585083,2025-02-04 09:57:50.276730,0 days 00:11:51.691647,0.2,0.003030448609009859,2,LSTM,128,,709.3717837333679,COMPLETE
127,127,0.33433047287073164,2025-02-04 09:57:50.277001,2025-02-04 10:09:21.690783,0 days 00:11:31.413782,0.30000000000000004,0.00010790365390227135,1,GRU,32,,690.3294973373413,COMPLETE
